                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4677,                 2.5809,                 1.6032,                0.00667,                      1,                0.56643,                 0.3163,                 2.0844,                 2.5444,                 2.1356,                      0,                      0,                      0
                      2,                 1.4977,                 2.5532,                 1.6631,                0.00667,                      1,                0.56643,                 0.3163,                 2.0821,                 2.5468,                 2.1136,              1.996e-05,              1.996e-05,              1.996e-05
                      3,                 1.5619,                 2.6341,                 1.6099,                0.00667,                      1,                0.56643,                0.31654,                 2.1024,                  2.546,                 2.1222,             3.9842e-05,             3.9842e-05,             3.9842e-05
                      4,                 1.7386,                 2.6451,                 1.8181,                0.00667,                      1,                0.56643,                 0.3168,                 2.1129,                  2.541,                 2.1123,             5.9644e-05,             5.9644e-05,             5.9644e-05
                      5,                 1.8306,                 2.6899,                 1.9971,                0.00667,                      1,                   0.62,                0.33973,                 1.7016,                 2.4926,                 1.6738,             7.9366e-05,             7.9366e-05,             7.9366e-05
                      6,                 1.4454,                 2.5665,                  1.426,                0.00667,                      1,                  0.745,                0.36663,                 1.5117,                 2.4904,                 1.3359,              9.901e-05,              9.901e-05,              9.901e-05
                      7,                 1.1862,                 2.4121,                  1.436,                0.00667,                      1,                  0.995,                0.43436,                 1.3964,                  2.729,                  1.631,             0.00011857,             0.00011857,             0.00011857
                      8,                 1.0838,                 2.2584,                 1.3744,                0.00667,                      1,                0.82833,                 0.3985,                 1.5584,                 2.7289,                 1.6196,             0.00013806,             0.00013806,             0.00013806
                      9,                 1.1058,                 2.1284,                 1.3133,                0.00667,                      1,                  0.995,                0.53892,                 1.5122,                 2.7247,                 1.6402,             0.00015747,             0.00015747,             0.00015747
                     10,                 1.0085,                 1.8656,                 1.2544,                0.00667,                      1,                  0.995,                0.58867,                 1.3551,                 2.6016,                 1.4818,             0.00017679,             0.00017679,             0.00017679
                     11,                 1.0341,                 1.7008,                 1.2192,                0.00667,                      1,                  0.995,                0.69685,                 1.2228,                 2.4342,                 1.2488,             0.00019604,             0.00019604,             0.00019604
                     12,                0.87419,                 1.4186,                 1.2037,                0.00667,                      1,                  0.995,                0.74649,                 1.1134,                 2.3529,                 1.0994,             0.00021521,             0.00021521,             0.00021521
                     13,                0.81424,                 1.1896,                 1.1302,                0.00667,                      1,                  0.995,                0.74576,                 1.2313,                  2.131,                 1.0253,              0.0002343,              0.0002343,              0.0002343
                     14,                0.99781,                 1.2263,                 1.2537,                0.20014,                      1,                  0.995,                0.64667,                 1.3064,                 2.0427,                 1.2093,             0.00025331,             0.00025331,             0.00025331
                     15,                 1.1834,                 1.4774,                 1.4859,                0.92226,                      1,                  0.995,                0.66333,                 1.4222,                 2.0912,                 1.4903,             0.00027224,             0.00027224,             0.00027224
                     16,                0.93804,                 1.1583,                 1.3092,                0.96554,                      1,                  0.995,                0.59756,                 1.5498,                 2.1174,                 1.5331,             0.00029109,             0.00029109,             0.00029109
                     17,                0.88958,                 1.2061,                 1.2363,                0.00667,                      1,                  0.995,                0.49717,                 1.7592,                 2.2514,                 1.5461,             0.00030986,             0.00030986,             0.00030986
                     18,                 0.9008,                 1.2245,                 1.2284,                0.00667,                      1,                  0.995,                0.49717,                 1.7592,                 2.2514,                 1.5461,             0.00032856,             0.00032856,             0.00032856
                     19,                 1.0087,                 1.2188,                 1.2179,                0.00667,                      1,                  0.995,                0.54675,                 1.6441,                 2.2437,                 1.5257,             0.00034717,             0.00034717,             0.00034717
                     20,                 0.8848,                 1.1984,                 1.2031,                0.00667,                      1,                  0.995,                0.54675,                 1.6441,                 2.2437,                 1.5257,              0.0003657,              0.0003657,              0.0003657
                     21,                0.99617,                 1.3275,                 1.3268,                0.00667,                      1,                  0.995,                0.57201,                 1.4221,                 2.2247,                 1.4864,             0.00038416,             0.00038416,             0.00038416
                     22,                0.75692,                  1.068,                 1.0821,                0.00667,                      1,                  0.995,                0.57201,                 1.4221,                 2.2247,                 1.4864,             0.00040254,             0.00040254,             0.00040254
                     23,                 0.8029,                 1.0082,                 1.1122,                0.00667,                      1,                  0.995,                0.69584,                 1.3503,                 2.1506,                 1.5355,             0.00042083,             0.00042083,             0.00042083
                     24,                0.70477,                 1.0391,                 1.0581,                0.00667,                      1,                  0.995,                0.69584,                 1.3503,                 2.1506,                 1.5355,             0.00043905,             0.00043905,             0.00043905
                     25,                0.74125,                0.95142,                 1.0775,                0.91156,                      1,                  0.995,                0.69584,                 1.4068,                 2.0931,                 1.6513,             0.00045719,             0.00045719,             0.00045719
                     26,                0.58798,                0.83009,                0.95447,                0.91156,                      1,                  0.995,                0.69584,                 1.4068,                 2.0931,                 1.6513,             0.00047525,             0.00047525,             0.00047525
                     27,                0.81646,                0.95154,                  1.128,                      1,                  0.951,                  0.995,                0.64626,                 1.5059,                 2.0423,                 1.8577,             0.00049323,             0.00049323,             0.00049323
                     28,                0.78977,                0.94706,                 1.1346,                      1,                  0.951,                  0.995,                0.64626,                 1.5059,                 2.0423,                 1.8577,             0.00051113,             0.00051113,             0.00051113
                     29,                0.74369,                 1.2364,                 1.1336,                0.73461,                      1,                  0.995,                0.59634,                 1.5794,                 2.1098,                 2.0012,             0.00052895,             0.00052895,             0.00052895
                     30,                0.78459,                0.87001,                 1.1279,                0.73461,                      1,                  0.995,                0.59634,                 1.5794,                 2.1098,                 2.0012,              0.0005467,              0.0005467,              0.0005467
                     31,                0.70001,                0.82872,                 1.0795,                0.01683,                      1,                  0.995,                0.64592,                 1.4842,                 2.1311,                 1.7961,             0.00056436,             0.00056436,             0.00056436
                     32,                 0.6852,                 0.8321,                 1.0919,                0.01683,                      1,                  0.995,                0.64592,                 1.4842,                 2.1311,                 1.7961,             0.00058194,             0.00058194,             0.00058194
                     33,                 0.8036,                 1.0575,                 1.1525,                0.91222,                      1,                  0.995,                0.49734,                 1.4017,                 2.0906,                 1.6035,             0.00059945,             0.00059945,             0.00059945
                     34,                0.82934,                 1.0089,                 1.1871,                0.91222,                      1,                  0.995,                0.49734,                 1.4017,                 2.0906,                 1.6035,             0.00061688,             0.00061688,             0.00061688
                     35,                0.74289,                 0.9633,                 1.0707,                      1,                0.92562,                  0.995,                0.64667,                 1.2137,                 1.9297,                 1.2666,             0.00063422,             0.00063422,             0.00063422
                     36,                0.83706,                 1.0075,                 1.2291,                      1,                0.92562,                  0.995,                0.64667,                 1.2137,                 1.9297,                 1.2666,             0.00065149,             0.00065149,             0.00065149
                     37,                0.70429,                0.96803,                 1.1069,                      1,                0.89365,                  0.995,                0.82083,                0.94632,                 1.9947,                 1.0387,             0.00066868,             0.00066868,             0.00066868
                     38,                0.75846,                 1.0023,                 1.1822,                      1,                0.89365,                  0.995,                0.82083,                0.94632,                 1.9947,                 1.0387,             0.00068579,             0.00068579,             0.00068579
                     39,                0.74655,                0.92461,                 1.0899,                      1,                0.90839,                  0.995,                0.94509,                0.74363,                 1.9707,                 0.9615,             0.00070282,             0.00070282,             0.00070282
                     40,                0.94634,                 1.0756,                  1.112,                      1,                0.90839,                  0.995,                0.94509,                0.74363,                 1.9707,                 0.9615,             0.00071977,             0.00071977,             0.00071977
                     41,                0.82983,                0.86789,                 1.0911,                 0.9429,                      1,                  0.995,                0.82083,                0.90186,                 1.8717,                 1.0173,             0.00073664,             0.00073664,             0.00073664
                     42,                0.68123,                0.86358,                 1.0531,                 0.9429,                      1,                  0.995,                0.82083,                0.90186,                 1.8717,                 1.0173,             0.00075343,             0.00075343,             0.00075343
                     43,                0.79696,                 1.0097,                 1.1707,                      1,                0.96135,                  0.995,                0.72134,                 1.0114,                 1.8496,                0.99018,             0.00077015,             0.00077015,             0.00077015
                     44,                0.78585,                 1.0236,                 1.1398,                      1,                0.96135,                  0.995,                0.72134,                 1.0114,                 1.8496,                0.99018,             0.00078678,             0.00078678,             0.00078678
